,icon,tid,title
0,https://vk.com/images/places/home.png,1,Дом
1,https://vk.com/images/places/work.png,2,Работа
2,https://vk.com/images/places/restaraunt.png,3,Ресторан
3,https://vk.com/images/places/clubs.png,4,Клуб
4,https://vk.com/images/places/cinema.png,5,Кинотеатр
5,https://vk.com/images/places/bar.png,6,Бар
6,https://vk.com/images/places/entertainment.png,7,Развлечения
7,https://vk.com/images/places/shop.png,8,Магазин
8,https://vk.com/images/places/airport.png,9,Аэропорт
9,https://vk.com/images/places/train.png,10,Вокзал
10,https://vk.com/images/places/hotel.png,11,Отель
11,https://vk.com/images/places/cafe.png,12,Кафе
12,https://vk.com/images/places/burger.png,13,Бистро
13,https://vk.com/images/places/pizza.png,14,Пиццерия
14,https://vk.com/images/places/pool.png,15,Бассейн
15,https://vk.com/images/places/gym.png,16,Тренажерный зал
16,https://vk.com/images/places/education.png,17,Учебное заведение
17,https://vk.com/images/places/museum.png,18,Музей
18,https://vk.com/images/places/theater.png,19,Театр
19,https://vk.com/images/places/park.png,20,Парк
20,https://vk.com/images/places/place.png,21,Другое
